Started in hybrid online/batch training mode.
Sequences will be shuffled within and across mini-batches during training.
The trained network will be written to 'savedNetwork.jsn'.
WARNING: The output file 'savedNetwork.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Test error will be calculated every 10 epochs.
Training will be stopped after 100 epochs or if there is no new lowest validation error within 20 epochs.
Autosave on BEST VALIDATION ERROR enabled.
WARNING: CUDA option not set. Computations will be performed on the CPU!
Uniform distribution with range [-0.1, 0.1]. Random seed: 1136983177

Reading network from 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\mynn2-.best.jsn'... done.

Loading training set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\trainingNCFile_1.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\f092-c83c-f008-6e46
... done.
Loaded fraction:  100%
Sequences:        3566
Sequence lengths: 2..551
Total timesteps:  231600

Loading validation set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\validationNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\727b-2279-a501-b050
... done.
Loaded fraction:  100%
Sequences:        1024
Sequence lengths: 2..294
Total timesteps:  49630

Loading test set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\testingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\131e-0a64-b36b-78e6
... done.
Loaded fraction:  100%
Sequences:        1646
Sequence lengths: 5..329
Total timesteps:  49479

Creating the neural network... done.
Layers:
(0) input [size: 36]
(1) blstm [size: 250, bias: 1.0, weights: 162750]
(2) softmax [size: 14, bias: 1.0, weights: 3514]
(3) multiclass_classification [size: 14]
Total weights: 166264


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       100
Max epochs until new best: 20
Validation error every:    1
Test error every:          10
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best
-------+----------+------------------+------------------+------------------+----------
     1 |    177.2 | 12.69%    25.043 | 14.36%    21.487 |                  |  yes
     2 |    175.8 | 12.64%    24.971 | 14.26%    21.364 |                  |  yes
     3 |    174.5 | 12.61%    24.903 | 14.34%    21.344 |                  |  yes
     4 |    174.6 | 12.61%    24.866 | 14.31%    21.254 |                  |  yes
     5 |    176.8 | 12.57%    24.803 | 14.57%    21.537 |                  |  no
     6 |    171.1 | 12.50%    24.730 | 14.28%    21.279 |                  |  no
     7 |    170.5 | 12.49%    24.649 | 14.40%    21.360 |                  |  no
     8 |    171.8 | 12.47%    24.595 | 14.19%    21.143 |                  |  yes
     9 |    175.8 | 12.41%    24.524 | 14.07%    21.053 |                  |  yes
    10 |    186.3 | 12.40%    24.455 | 14.08%    21.145 | 18.05%    16.676 |  no
    11 |    171.3 | 12.32%    24.420 | 14.18%    21.154 |                  |  no
    12 |    183.3 | 12.33%    24.342 | 14.07%    20.952 |                  |  yes
    13 |    182.4 | 12.28%    24.268 | 14.22%    21.083 |                  |  no
    14 |    172.3 | 12.27%    24.210 | 14.06%    20.991 |                  |  no
    15 |    177.6 | 12.20%    24.158 | 14.42%    21.333 |                  |  no
    16 |    173.7 | 12.16%    24.078 | 14.07%    20.946 |                  |  yes
    17 |    178.0 | 12.14%    24.032 | 14.01%    21.080 |                  |  no
    18 |    179.3 | 12.12%    23.925 | 14.07%    20.923 |                  |  yes
    19 |    177.1 | 12.10%    23.905 | 13.98%    20.926 |                  |  no
    20 |    187.5 | 12.05%    23.830 | 13.94%    20.787 | 18.07%    16.548 |  yes
    21 |    176.4 | 11.99%    23.770 | 13.99%    20.822 |                  |  no
    22 |    172.7 | 11.97%    23.691 | 14.00%    20.781 |                  |  yes
    23 |    175.9 | 11.91%    23.656 | 14.09%    20.923 |                  |  no
    24 |    176.0 | 11.92%    23.578 | 13.92%    20.812 |                  |  no
    25 |    178.4 | 11.87%    23.541 | 13.94%    20.988 |                  |  no
    26 |    186.9 | 11.84%    23.461 | 13.91%    20.869 |                  |  no
    27 |    172.9 | 11.76%    23.403 | 13.91%    20.818 |                  |  no
    28 |    172.3 | 11.76%    23.362 | 13.88%    20.785 |                  |  no
    29 |    173.3 | 11.74%    23.305 | 13.89%    20.766 |                  |  yes
    30 |    187.7 | 11.70%    23.242 | 13.83%    20.844 | 17.99%    16.620 |  no
    31 |    173.5 | 11.68%    23.182 | 13.79%    20.624 |                  |  yes
    32 |    176.9 | 11.65%    23.123 | 13.75%    20.590 |                  |  yes
    33 |    188.3 | 11.62%    23.042 | 13.67%    20.560 |                  |  yes
    34 |    181.2 | 11.63%    23.006 | 13.78%    20.581 |                  |  no
    35 |    171.9 | 11.55%    22.927 | 13.72%    20.505 |                  |  yes
    36 |    175.7 | 11.53%    22.872 | 13.74%    20.646 |                  |  no
    37 |    170.8 | 11.47%    22.846 | 13.78%    20.522 |                  |  no
    38 |    170.4 | 11.48%    22.775 | 13.80%    20.633 |                  |  no
    39 |    171.0 | 11.48%    22.737 | 13.61%    20.440 |                  |  yes
    40 |    187.3 | 11.41%    22.670 | 13.59%    20.476 | 17.84%    16.486 |  no
    41 |    173.1 | 11.32%    22.597 | 13.70%    20.510 |                  |  no
    42 |    172.6 | 11.38%    22.563 | 13.87%    20.682 |                  |  no
