"idword";"word";"SentenceNumber";"DocName"
1;"بِسْمِ";"1";"quran-simple.txt"
2;"اللَّهِ";"1";"quran-simple.txt"
3;"الرَّحْمَنِ";"1";"quran-simple.txt"
4;"الرَّحِيمِ";"1";"quran-simple.txt"
5;"الْحَمْدُ";"2";"quran-simple.txt"
6;"لِلَّهِ";"2";"quran-simple.txt"
7;"رَبِّ";"2";"quran-simple.txt"
8;"الْعَالَمِينَ";"2";"quran-simple.txt"
9;"الرَّحْمَنِ";"3";"quran-simple.txt"
10;"الرَّحِيمِ";"3";"quran-simple.txt"
11;"مَالِكِ";"4";"quran-simple.txt"
12;"يَوْمِ";"4";"quran-simple.txt"
13;"الدِّينِ";"4";"quran-simple.txt"
14;"إِيَّاكَ";"5";"quran-simple.txt"
15;"نَعْبُدُ";"5";"quran-simple.txt"
16;"وَإِيَّاكَ";"5";"quran-simple.txt"
17;"نَسْتَعِينُ";"5";"quran-simple.txt"
18;"اهْدِنَا";"6";"quran-simple.txt"
19;"الصِّرَاطَ";"6";"quran-simple.txt"
20;"الْمُسْتَقِيمَ";"6";"quran-simple.txt"
21;"صِرَاطَ";"7";"quran-simple.txt"
22;"الَّذِينَ";"7";"quran-simple.txt"
23;"أَنْعَمْتَ";"7";"quran-simple.txt"
24;"عَلَيْهِمْ";"7";"quran-simple.txt"
25;"غَيْرِ";"7";"quran-simple.txt"
26;"الْمَغْضُوبِ";"7";"quran-simple.txt"
27;"عَلَيْهِمْ";"7";"quran-simple.txt"
28;"وَلَا";"7";"quran-simple.txt"
29;"الضَّالِّينَ";"7";"quran-simple.txt"
30;"الم";"8";"quran-simple.txt"
31;"ذَلِكَ";"9";"quran-simple.txt"
32;"الْكِتَابُ";"9";"quran-simple.txt"
33;"لَا";"9";"quran-simple.txt"
34;"رَيْبَ";"9";"quran-simple.txt"
35;"فِيهِ";"9";"quran-simple.txt"
36;"هُدًى";"9";"quran-simple.txt"
37;"لِلْمُتَّقِينَ";"9";"quran-simple.txt"
38;"الَّذِينَ";"10";"quran-simple.txt"
39;"يُؤْمِنُونَ";"10";"quran-simple.txt"
40;"بِالْغَيْبِ";"10";"quran-simple.txt"
41;"وَيُقِيمُونَ";"10";"quran-simple.txt"
42;"الصَّلَاةَ";"10";"quran-simple.txt"
43;"وَمِمَّا";"10";"quran-simple.txt"
44;"رَزَقْنَاهُمْ";"10";"quran-simple.txt"
45;"يُنْفِقُونَ";"10";"quran-simple.txt"
46;"وَالَّذِينَ";"11";"quran-simple.txt"
47;"يُؤْمِنُونَ";"11";"quran-simple.txt"
48;"بِمَا";"11";"quran-simple.txt"
49;"أُنْزِلَ";"11";"quran-simple.txt"
50;"إِلَيْكَ";"11";"quran-simple.txt"
51;"وَمَا";"11";"quran-simple.txt"
52;"أُنْزِلَ";"11";"quran-simple.txt"
53;"مِنْ";"11";"quran-simple.txt"
54;"قَبْلِكَ";"11";"quran-simple.txt"
55;"وَبِالْآخِرَةِ";"11";"quran-simple.txt"
56;"هُمْ";"11";"quran-simple.txt"
57;"يُوقِنُونَ";"11";"quran-simple.txt"
58;"أُولَئِكَ";"12";"quran-simple.txt"
59;"عَلَى";"12";"quran-simple.txt"
60;"هُدًى";"12";"quran-simple.txt"
61;"مِنْ";"12";"quran-simple.txt"
62;"رَبِّهِمْ";"12";"quran-simple.txt"
63;"وَأُولَئِكَ";"12";"quran-simple.txt"
64;"هُمُ";"12";"quran-simple.txt"
65;"الْمُفْلِحُونَ";"12";"quran-simple.txt"
66;"إِنَّ";"13";"quran-simple.txt"
67;"الَّذِينَ";"13";"quran-simple.txt"
