"idUnDiacritizedCharacter";"UnDiacritizedCharacter";"UnDiacritizedCharacterOneHotEncoding"
1;"ء";"100000000000000000000000000000000000"
2;"أ";"010000000000000000000000000000000000"
3;"آ";"001000000000000000000000000000000000"
4;"إ";"000100000000000000000000000000000000"
5;"ؤ";"000010000000000000000000000000000000"
6;"ا";"000001000000000000000000000000000000"
7;"ئ";"000000100000000000000000000000000000"
8;"ة";"000000010000000000000000000000000000"
9;"ب";"000000001000000000000000000000000000"
10;"ث";"000000000100000000000000000000000000"
11;"ت";"000000000010000000000000000000000000"
12;"ح";"000000000001000000000000000000000000"
13;"ج";"000000000000100000000000000000000000"
14;"د";"000000000000010000000000000000000000"
15;"خ";"000000000000001000000000000000000000"
16;"ر";"000000000000000100000000000000000000"
17;"ذ";"000000000000000010000000000000000000"
18;"س";"000000000000000001000000000000000000"
19;"ز";"000000000000000000100000000000000000"
20;"ص";"000000000000000000010000000000000000"
21;"ش";"000000000000000000001000000000000000"
22;"ط";"000000000000000000000100000000000000"
23;"ض";"000000000000000000000010000000000000"
24;"ع";"000000000000000000000001000000000000"
25;"ظ";"000000000000000000000000100000000000"
26;"غ";"000000000000000000000000010000000000"
27;"ف";"000000000000000000000000001000000000"
28;"ك";"000000000000000000000000000100000000"
29;"ق";"000000000000000000000000000010000000"
30;"م";"000000000000000000000000000001000000"
31;"ل";"000000000000000000000000000000100000"
32;"ه";"000000000000000000000000000000010000"
33;"ن";"000000000000000000000000000000001000"
34;"ى";"000000000000000000000000000000000100"
35;"و";"000000000000000000000000000000000010"
36;"ي";"000000000000000000000000000000000001"
